"filename", "language", "XML", "Java", "Properties", "Batch", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Support\support\src\main\java\com\support\Services\UserWraper.java", "Java", 0, 37, 0, 0, 0, 0, 0, 0, 3, 22, 62
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\BreakdownInterface.java", "Java", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\MachineFamilyInterface.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\MachineInterface.java", "Java", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\ReseverInterface.java", "Java", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\TicketInterface.java", "Java", 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 32
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\UserInterface.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Support\support\src\main\java\com\support\SupportApplication.java", "Java", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Support\support\src\main\java\com\support\Utils\Utils.java", "Java", 0, 29, 0, 0, 0, 0, 0, 0, 0, 11, 40
"d:\Support\support\src\main\java\com\support\security\SecurityConfiguration.java", "Java", 0, 33, 0, 0, 0, 0, 0, 0, 15, 8, 56
"d:\Support\support\src\main\java\com\support\security\SupportUserDetails.java", "Java", 0, 42, 0, 0, 0, 0, 0, 0, 0, 24, 66
"d:\Support\support\src\main\java\com\support\security\UserDetailsServiceImp.java", "Java", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Support\support\src\main\resources\application.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Support\support\src\main\resources\static\Time\css\bootstrap-datetimepicker.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 9, 1, 11
"d:\Support\support\src\main\resources\static\Time\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 7
"d:\Support\support\src\main\resources\static\Time\css\bootstrap\_media.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_badge.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_border-radius.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_grid-framework.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_screen-reader.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Support\support\src\main\resources\static\Time\css\bootstrap\mixins\_visibility.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Support\support\src\main\resources\static\Time\css\bootstrap\utilities\_stretched-link.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"d:\Support\support\src\main\resources\static\Time\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 7381, 6, 813, 8200
